State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Apple,Apple,Grade A,25-02-2026,13800,14200,14000
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Papaya,Papaya,Grade B,25-02-2026,2200,2600,2400
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Water Melon,Water Melon,Grade B,25-02-2026,3200,3600,3400
Kerala,Kannur,Taliparamba APMC,Tomato,Tomato,FAQ,25-02-2026,2400,2600,2500
Telangana,Ranga Reddy,"Kukatpally,RBZ APMC",Drumstick,Drumstick,FAQ,25-02-2026,4000,7000,6000
Madhya Pradesh,Badwani,Badwani(F&V) APMC,Sponge gourd,Sponge gourd,Local,25-02-2026,1500,1500,1500
Kerala,Ernakulam,Angamaly APMC,Ashgourd,Ashgourd,FAQ,25-02-2026,2000,3500,2500
Uttar Pradesh,Shamli,Khandhla APMC,Mousambi(Sweet Lime),Mousambi,Medium,25-02-2026,2700,2800,2750
Punjab,Jalandhar,Nakodar APMC,Cauliflower,Cauliflower,Local,25-02-2026,700,700,700
Gujarat,Rajkot,Upleta APMC,Cotton,Cotton (Unginned),Local,25-02-2026,6500,7675,7200
Odisha,Sonepur,Birmaharajpur APMC,Potato,Other,Local,25-02-2026,1700,1800,1700
Kerala,Ernakulam,Angamaly APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,FAQ,25-02-2026,6500,7500,7000
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Peas Wet,Peas Wet,Grade C,25-02-2026,3500,3900,3700
Kerala,Malappuram,Kottakkal APMC,Apple,Other,Local,25-02-2026,17000,17000,17000
Punjab,Mohali,Dera Bassi APMC,Peas Wet,Other,Local,25-02-2026,3000,3000,3000
Haryana,Mewat,FerozpurZirkha(Nagina) APMC,Cauliflower,Other,Local,25-02-2026,1000,1400,1200
Odisha,Sonepur,Birmaharajpur APMC,Cabbage,Cabbage,Local,25-02-2026,1500,1600,1600
Kerala,Malappuram,Kottakkal APMC,Water Melon,Other,Local,25-02-2026,2000,2000,2000
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Cauliflower,Cauliflower,Local,25-02-2026,900,1300,1100
Kerala,Malappuram,Kottakkal APMC,Pineapple,Other,Local,25-02-2026,6000,6000,6000
Rajasthan,Ganganagar,Sriganganagar (F&V) APMC,Sweet Potato,Sweet Potato,Grade A,25-02-2026,5300,5700,5500
Haryana,Faridabad,Ballabhgarh APMC,Cauliflower,Cauliflower,FAQ,25-02-2026,600,1000,800
Tripura,South Tripura,Biokhora,Cucumbar(Kheera),Cucumbar,FAQ,25-02-2026,3300,3400,3350
Kerala,Palakad,Pattambi APMC,Onion,Onion,FAQ,25-02-2026,3000,3500,3200
Madhya Pradesh,Khargone,Bhikangaon APMC,Maize,Local,FAQ,25-02-2026,1415,1421,1421
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Banana,Medium,Grade B,25-02-2026,1300,1300,1300
Haryana,Hissar,Barwala(Hisar) APMC,Apple,Apple,Local,25-02-2026,8000,10000,9000
Odisha,Mayurbhanja,Baripada APMC,Bitter gourd,Bitter Gourd,Local,25-02-2026,8000,10000,8500
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Bitter gourd,Bitter Gourd,FAQ,25-02-2026,2200,2200,2200
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Onion,Red,FAQ,25-02-2026,1500,1500,1500
Telangana,Ranga Reddy,"Kukatpally,RBZ APMC",Onion Green,Onion Green,FAQ,25-02-2026,1500,1500,1500
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,Brinjal,Brinjal,FAQ,25-02-2026,1800,1800,1800
Himachal Pradesh,Chamba,PMY Chamba,Onion,Onion,Medium,25-02-2026,1800,2000,1900
Rajasthan,Nagaur,Nagaur APMC,Guar Seed(Cluster Beans Seed),Other,Local,25-02-2026,4800,5150,5000
Gujarat,Amreli,Damnagar APMC,Bottle gourd,Bottle Gourd,Local,25-02-2026,2500,2500,2500
Gujarat,Amreli,Damnagar APMC,Cabbage,Cabbage,Local,25-02-2026,3000,3000,3000
Kerala,Ernakulam,Perumbavoor APMC,Green Chilli,Green Chilly,Medium,25-02-2026,4400,5200,4800
Kerala,Ernakulam,Perumbavoor APMC,Brinjal,Brinjal,Medium,25-02-2026,3200,4000,3600
Kerala,Ernakulam,Perumbavoor APMC,Drumstick,Drumstick,Large,25-02-2026,10000,14000,12000
Kerala,Kozhikode(Calicut),Palayam APMC,Ashgourd,Other,Local,25-02-2026,800,900,800
Punjab,Ludhiana,Khanna APMC,Capsicum,Capsicum,Grade A,25-02-2026,1500,1500,1500
Kerala,Kozhikode(Calicut),Palayam APMC,Green Chilli,Other,Local,25-02-2026,3700,3700,3700
Kerala,Ernakulam,Perumbavoor APMC,Cucumbar(Kheera),Cucumbar,Medium,25-02-2026,2400,3300,2800
Punjab,Mohali,Lalru APMC,Methi(Leaves),Other,Local,25-02-2026,500,500,500
Kerala,Ernakulam,Perumbavoor APMC,Lemon,Lemon,Medium,25-02-2026,5000,5900,5500
Kerala,Ernakulam,Perumbavoor APMC,Pumpkin,Pumpkin,Medium,25-02-2026,1400,2200,1800
Kerala,Ernakulam,Perumbavoor APMC,Tapioca,Tapioca,Local,25-02-2026,1300,2000,1600
Uttar Pradesh,Sant Kabir Nagar,Khalilabad APMC,Pea Pod/Pea Cod/हरी मटर,Peas cod,Grade B,25-02-2026,1450,1450,1450
Kerala,Ernakulam,Perumbavoor APMC,Potato,Potato,Medium,25-02-2026,2500,3200,3000
West Bengal,Medinipur(E),Tamluk (Medinipur E) APMC,Bitter gourd,Bitter Gourd,FAQ,25-02-2026,5800,6200,6000
Kerala,Ernakulam,Perumbavoor APMC,Pineapple,Pine Apple,Medium,25-02-2026,3500,4300,3900
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi) APMC,Potato,Other,FAQ,25-02-2026,650,650,650
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi) APMC,Tomato,Other,FAQ,25-02-2026,1800,1800,1800
Uttarakhand,Dehradoon,Vikasnagar APMC,Bottle gourd,Other,Medium,25-02-2026,1000,1800,1800
Kerala,Kozhikode(Calicut),Palayam APMC,French Beans(Frasbean),Other,Local,25-02-2026,3000,3000,3000
Kerala,Kozhikode(Calicut),Mukkom APMC,Apple,Other,Large,25-02-2026,20500,21500,21000
Gujarat,Rajkot,Upleta APMC,Groundnut,Other,Local,25-02-2026,4500,6625,6100
West Bengal,Medinipur(E),Kolaghat APMC,Rice,Fine,FAQ,25-02-2026,4200,4400,4300
Punjab,Ludhiana,Khanna APMC,Cabbage,Other,Grade A,25-02-2026,600,600,600
Punjab,Ludhiana,Khanna APMC,Ginger(Green),Green Ginger,Grade A,25-02-2026,5000,5000,5000
Kerala,Kozhikode(Calicut),Palayam APMC,Carrot,Other,Local,25-02-2026,3200,3200,3200
Punjab,Ludhiana,Sahnewal APMC,Peas Wet,Peas Wet,FAQ,25-02-2026,2400,2400,2400
Odisha,Sonepur,Birmaharajpur APMC,Onion,Onion,Local,25-02-2026,2050,2100,2100
Kerala,Kozhikode(Calicut),Palayam APMC,Ginger(Green),Other,Local,25-02-2026,5500,5500,5500
Punjab,Hoshiarpur,GarhShankar (Kotfatuhi) APMC,Carrot,Carrot,FAQ,25-02-2026,1600,1600,1600
Himachal Pradesh,Kangra,SMY Palampur,Spinach,Spinach,FAQ,25-02-2026,1800,2000,1900
Himachal Pradesh,Kangra,SMY Jaisinghpur,Banana,Banana - Ripe,Medium,25-02-2026,4700,5000,4800
Kerala,Kozhikode(Calicut),Mukkom APMC,Cowpea(Veg),Cowpea (Veg),FAQ,25-02-2026,5000,5500,5200
Punjab,Ludhiana,Khanna APMC,Bhindi(Ladies Finger),Bhindi,Grade A,25-02-2026,3000,3000,3000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Carrot,Carrot,FAQ,25-02-2026,2000,2200,2100
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Cauliflower,Cauliflower,FAQ,25-02-2026,400,800,600
Himachal Pradesh,Kangra,SMY Palampur,Beetroot,Beetroot,FAQ,25-02-2026,3500,4000,3800
Punjab,Ludhiana,Khanna APMC,Mousambi(Sweet Lime),Other,Grade A,25-02-2026,4000,4000,4000
Kerala,Thirssur,Chavakkad APMC,Brinjal,Other,FAQ,25-02-2026,2400,3000,3000
Himachal Pradesh,Kangra,SMY Palampur,Cucumbar(Kheera),Cucumbar,FAQ,25-02-2026,3800,4000,3900
Uttar Pradesh,Khiri (Lakhimpur),Maigalganj APMC,Carrot,Carrot,FAQ,25-02-2026,1075,1105,1095
Punjab,Ludhiana,Khanna APMC,Lemon,Other,Grade A,25-02-2026,1200,1200,1200
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Pumpkin,Other,FAQ,25-02-2026,1400,1800,1600
Kerala,Kozhikode(Calicut),Mukkom APMC,Bhindi(Ladies Finger),Bhindi,FAQ,25-02-2026,4400,4600,4500
Himachal Pradesh,Mandi,PMY Kangni Mandi,Pumpkin,Pumpkin,Grade B,25-02-2026,3400,3400,3400
Kerala,Alappuzha,Chengannur APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,FAQ,25-02-2026,4500,5200,5000
Kerala,Kozhikode(Calicut),Palayam APMC,Snakeguard,Other,Local,25-02-2026,2000,2000,2000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Onion,Other,FAQ,25-02-2026,2100,2400,2300
Himachal Pradesh,Kangra,SMY Jaisinghpur,Chikoos(Sapota),Sapota,Medium,25-02-2026,6500,7500,7000
Punjab,Ludhiana,Khanna APMC,Tomato,Tomato,Grade A,25-02-2026,1500,1500,1500
Himachal Pradesh,Kangra,SMY Jaisinghpur,Turnip,Other,FAQ,25-02-2026,1900,2100,2000
Punjab,Ludhiana,Khanna APMC,Guava,Guava,Grade A,25-02-2026,4000,4000,4000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Tomato,Tomato,FAQ,25-02-2026,1900,2100,2000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Cauliflower,Cauliflower,FAQ,25-02-2026,1100,1200,1150
Himachal Pradesh,Kullu,SMY Bhuntar,Brinjal,Other,FAQ,25-02-2026,2800,3000,2900
Punjab,Fazilka,Jalalabad APMC,Cucumbar(Kheera),Other,Medium,25-02-2026,2500,2650,2600
Kerala,Thiruvananthapuram,Pappanchani VFPCK APMC,Amranthas Red,Chawli Lal,Grade A,25-02-2026,4000,4000,4000
Himachal Pradesh,Kangra,SMY Jaisinghpur,Pumpkin,Pumpkin,FAQ,25-02-2026,3500,4000,3800
Punjab,Hoshiarpur,Garh Shankar APMC,Apple,Apple,Medium,25-02-2026,8500,8500,8500
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Onion,Dry F.A.Q.,FAQ,25-02-2026,1400,1800,1600
Punjab,Fazilka,Jalalabad APMC,Banana,Other,Medium,25-02-2026,2800,3000,2900
Haryana,Rewari,Rewari APMC,Banana,Other,Medium,25-02-2026,2000,2900,2400
West Bengal,Darjeeling,Siliguri APMC,Black Gram Dal(Urd Dal),Black Gram Dal,FAQ,25-02-2026,9900,10100,10000
Himachal Pradesh,Kullu,SMY Bhuntar,Cabbage,Other,FAQ,25-02-2026,500,1200,800
West Bengal,Darjeeling,Siliguri APMC,Potato,Other,FAQ,25-02-2026,900,950,930
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Ginger(Green),Green Ginger,FAQ,25-02-2026,5800,6200,6000
Punjab,Fazilka,Jalalabad APMC,Ber(Zizyphus/Borehannu),Ber(Zizyphus),Medium,25-02-2026,2500,2500,2500
Punjab,Fazilka,Jalalabad APMC,Brinjal,Other,Medium,25-02-2026,1700,1750,1700
Kerala,Kottayam,Kottayam APMC,Banana,Nendra Bale,Medium,25-02-2026,3600,4000,3800
Himachal Pradesh,Kullu,SMY Bhuntar,Raddish,Other,FAQ,25-02-2026,500,1800,1200
Kerala,Kollam,Anchal APMC,Ashgourd,Ashgourd,Local,25-02-2026,6300,6300,6300
Punjab,Jalandhar,Mehatpur APMC,Methi(Leaves),Methi,Local,25-02-2026,2000,2000,2000
Himachal Pradesh,Kangra,SMY Baijnath,Ber(Zizyphus/Borehannu),Ber(Zizyphus),Grade B,25-02-2026,4500,4600,4600
Himachal Pradesh,Kullu,SMY Bhuntar,Water Melon,Other,Medium,25-02-2026,4000,4500,4300
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Kinnow,Other,Grade A,25-02-2026,3000,4000,3500
Kerala,Kollam,Anchal APMC,Snakeguard,Snakeguard,Local,25-02-2026,3900,3900,3900
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Tomato,Tomato,Medium,25-02-2026,2000,2000,2000
West Bengal,Darjeeling,Siliguri APMC,Ginger(Green),Green Ginger,FAQ,25-02-2026,5500,6000,5800
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Banana,Other,Medium,25-02-2026,3800,3800,3800
Himachal Pradesh,Kullu,SMY Bhuntar,Pumpkin,Other,FAQ,25-02-2026,2800,3000,2900
Kerala,Kottayam,Kottayam APMC,Green Gram(Moong)(Whole),Green (Whole),FAQ,25-02-2026,9800,10800,10300
Punjab,Fazilka,Jalalabad APMC,Garlic,Garlic,Local,25-02-2026,9500,9500,9500
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Papaya,Other,Medium,25-02-2026,3500,3500,3500
Kerala,Kollam,Anchal APMC,Colacasia,Colacasia,Medium,25-02-2026,6700,6700,6700
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,Apple,Other,Grade A,25-02-2026,8000,10000,9000
Kerala,Kollam,Anchal APMC,Banana,Palayamthodan,Medium,25-02-2026,3500,3500,3500
Kerala,Kollam,Anchal APMC,Cauliflower,Cauliflower,Medium,25-02-2026,5600,5600,5600
Telangana,Bhadradri Kothagudem,Nuguru Charla APMC,Water Melon,Water Melon,Grade A,25-02-2026,760,780,770
Punjab,Hoshiarpur,Garh Shankar APMC,Sweet Potato,Other,FAQ,25-02-2026,2200,2200,2200
Himachal Pradesh,Kullu,SMY Bhuntar,Guava,Other,Medium,25-02-2026,7500,8000,7800
Kerala,Kollam,Anchal APMC,Cucumbar(Kheera),Cucumbar,Local,25-02-2026,2200,2200,2200
Punjab,Ropar (Rupnagar),Chamkaur Sahib APMC,Grapes,Green,Medium,25-02-2026,10000,10000,10000
Himachal Pradesh,Kangra,SMY Baijnath,Carrot,Carrot,Grade B,25-02-2026,1900,2000,2000
Himachal Pradesh,Kangra,SMY Baijnath,Green Chilli,Green Chilly,Grade B,25-02-2026,9000,10000,9500
Assam,Nagaon,Haibargaon APMC,Bitter gourd,Bitter Gourd,FAQ,25-02-2026,1600,1800,1700
Punjab,Hoshiarpur,Garh Shankar APMC,Green Chilli,Green Chilly,FAQ,25-02-2026,6500,6500,6500
Punjab,Ludhiana,Doraha APMC,Green Chilli,Other,Local,25-02-2026,3000,7000,5500
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Squash(Chappal Kadoo),Other,FAQ,25-02-2026,1800,2000,1900
Haryana,Hissar,Hansi APMC,Grapes,Other,Grade B,25-02-2026,8000,12000,10000
Himachal Pradesh,Kangra,SMY Baijnath,Potato,Jyoti,Grade B,25-02-2026,900,1000,1000
Haryana,Kurukshetra,Ladwa APMC,Capsicum,Capsicum,Medium,25-02-2026,4500,5000,5000
West Bengal,Darjeeling,Karsiyang(Matigara) APMC,Tomato,Other,FAQ,25-02-2026,2900,3100,3000
Himachal Pradesh,Shimla,SMY Rohroo,Pomegranate,Other,Grade A,25-02-2026,13000,15000,14000
Haryana,Hissar,Hansi APMC,Pomegranate,Other,Grade B,25-02-2026,8000,12000,10000
Assam,Nagaon,Haibargaon APMC,Potato,Potato,FAQ,25-02-2026,1000,1200,1100
Rajasthan,Ganganagar,Suratgarh APMC,Guar,Gwar,FAQ,25-02-2026,5015,5121,5068
Gujarat,Rajkot,Dhoraji APMC,Corriander seed,Medium Green,Local,25-02-2026,7530,9530,9030
Himachal Pradesh,Mandi,SMY Jogindernagar,Bhindi(Ladies Finger),Other,Grade B,25-02-2026,6000,6500,6250
Assam,Nagaon,Ambagan APMC,Beetroot,Beetroot,FAQ,25-02-2026,1900,2100,2000
Kerala,Wayanad,Pulpally APMC,Cucumbar(Kheera),Other,Local,25-02-2026,1100,1300,1200
Himachal Pradesh,Shimla,SMY Rohroo,Bitter gourd,Other,Grade A,25-02-2026,6000,7000,6500
Haryana,Hissar,Hansi APMC,Kinnow,Other,Grade B,25-02-2026,2500,3500,3000
Uttar Pradesh,Balrampur,Panchpedwa APMC,Green Chilli,Green Chilly,FAQ,25-02-2026,3000,3200,3100
Haryana,Hissar,Hansi APMC,Orange,Other,Grade B,25-02-2026,6000,6000,6000
Haryana,Faridabad,Ballabhgarh APMC,Brinjal,Other,FAQ,25-02-2026,1000,1500,1200
Himachal Pradesh,Shimla,SMY Rohroo,Coriander(Leaves),Coriander,Grade B,25-02-2026,3000,4000,3500
Himachal Pradesh,Kangra,SMY Baijnath,Turnip,Turnip,Grade B,25-02-2026,1700,1800,1800
Kerala,Wayanad,Pulpally APMC,Rubber,Other,Local,25-02-2026,19200,19400,19300
Assam,Nagaon,Ambagan APMC,Brinjal,Brinjal,FAQ,25-02-2026,1800,2050,1900
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Green Chilli,Other,Local,25-02-2026,5000,6000,5000
Jammu and Kashmir,Udhampur,Udhampur APMC,Cabbage,Other,Grade B,25-02-2026,600,600,600
Himachal Pradesh,Mandi,SMY Jogindernagar,Cabbage,Cabbage,Grade B,25-02-2026,800,1000,900
Haryana,Hissar,Hansi APMC,Ginger(Dry),Other,FAQ,25-02-2026,5000,6000,5500
Kerala,Kollam,Chathanoor APMC,Carrot,Other,FAQ,25-02-2026,6800,7200,7000
Assam,Nagaon,Ambagan APMC,French Beans(Frasbean),French Beans (Frasbean),FAQ,25-02-2026,1800,2000,1900
Jammu and Kashmir,Udhampur,Udhampur APMC,Pomegranate,Other,Grade B,25-02-2026,18000,18000,18000
Kerala,Alappuzha,Chengannur APMC,Onion,Big,FAQ,25-02-2026,2300,2600,2400
Kerala,Thirssur,Varandarappilly  VFPCK APMC,Banana,Nendra Bale,Grade A,25-02-2026,3500,4700,4100
Jammu and Kashmir,Udhampur,Udhampur APMC,Indian Beans(Seam),Other,Grade B,25-02-2026,5250,5250,5250
Kerala,Kollam,Chathanoor APMC,Tomato,Other,FAQ,25-02-2026,6800,7200,7000
Uttar Pradesh,Maharajganj,Anandnagar APMC,Onion,Red,FAQ,25-02-2026,1320,1520,1420
Kerala,Kollam,Chathanoor APMC,Pumpkin,Other,FAQ,25-02-2026,1800,2200,2000
Haryana,Karnal,Tarori APMC,Onion,Nasik,Grade A,25-02-2026,2500,3000,2800
Assam,Nagaon,Ambagan APMC,Raddish,Raddish,FAQ,25-02-2026,700,900,800
Uttar Pradesh,Maharajganj,Anandnagar APMC,Potato,Potato,FAQ,25-02-2026,1320,1520,1420
Kerala,Kollam,Chathanoor APMC,Banana,Banana - Ripe,Medium,25-02-2026,6800,7200,7000
Uttar Pradesh,Maharajganj,Anandnagar APMC,Tomato,Tomato,FAQ,25-02-2026,1950,2100,2050
Haryana,Hissar,Hansi APMC,Lemon,Other,FAQ,25-02-2026,4000,5000,4500
Odisha,Dhenkanal,Dhenkanal APMC,Tomato,Tomato,Grade B,25-02-2026,3000,3000,3000
Uttar Pradesh,Aligarh,Charra APMC,Bottle gourd,Bottle Gourd,FAQ,25-02-2026,1500,1600,1550
Uttar Pradesh,Aligarh,Charra APMC,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,25-02-2026,1800,1900,1850
Gujarat,Gandhinagar,Mansa(Manas Veg Yard) APMC,Carrot,Other,Local,25-02-2026,1750,1750,1750
Haryana,Sonipat,Ganaur APMC,Kinnow,Kinnow,Medium,25-02-2026,2500,3000,2800
Kerala,Kottayam,Athirampuzha APMC,Bhindi(Ladies Finger),Bhindi,FAQ,25-02-2026,3000,3200,3100
Kerala,Thirssur,Alengad  VFPCK APMC,Banana,Nendra Bale,Grade A,25-02-2026,2500,4500,3600
Haryana,Hissar,Hansi APMC,Spinach,Other,FAQ,25-02-2026,800,1000,900
Haryana,Sonipat,Gohana APMC,Cauliflower,Other,Medium,25-02-2026,800,1500,1000
Haryana,Sonipat,Ganaur APMC,Mousambi(Sweet Lime),Mousambi,Medium,25-02-2026,3000,3500,3200
Uttar Pradesh,Etawah,Jasvantnagar APMC,Potato,Desi,Medium,25-02-2026,600,800,700
Uttar Pradesh,Aligarh,Charra APMC,Green Chilli,Green Chilly,FAQ,25-02-2026,5500,5600,5550
Kerala,Kottayam,Athirampuzha APMC,Beetroot,Beetroot,FAQ,25-02-2026,3000,3200,3100
Haryana,Yamuna Nagar,Chhachrauli APMC,Onion,Onion,Medium,25-02-2026,2000,2500,2000
Kerala,Kottayam,Athirampuzha APMC,Bitter gourd,Bitter Gourd,FAQ,25-02-2026,4000,4200,4100
Haryana,Hissar,Hansi APMC,Onion,Other,FAQ,25-02-2026,1200,2000,1500
Himachal Pradesh,Mandi,SMY Jogindernagar,French Beans(Frasbean),Other,Grade B,25-02-2026,5000,6000,5500
Kerala,Thirssur,Alengad  VFPCK APMC,Banana,Palayamthodan,Grade A,25-02-2026,1000,2000,1600
Haryana,Sonipat,Ganaur APMC,Potato,Potato,FAQ,25-02-2026,500,1000,800
Uttar Pradesh,Prayagraj,Prayagraj APMC,Bottle gourd,Bottle Gourd,FAQ,25-02-2026,2150,2190,2175
Kerala,Kottayam,Athirampuzha APMC,Cauliflower,Cauliflower,FAQ,25-02-2026,4000,4200,4100
Haryana,Kurukshetra,Pipli APMC,Potato,Potato,Medium,25-02-2026,230,230,230
Odisha,Boudh,Boudh APMC,Tomato,Other,Local,25-02-2026,1500,2500,2000
Telangana,Karimnagar,Manakodur APMC,Paddy(Common),I.R.-64,FAQ,25-02-2026,2369,2369,2369
Haryana,Sonipat,Ganaur APMC,Tomato,Tomato,FAQ,25-02-2026,1500,1800,1600
Haryana,Sonipat,Ganaur APMC,Onion,Onion,FAQ,25-02-2026,2000,2200,2000
Uttar Pradesh,Prayagraj,Prayagraj APMC,Onion,Red,FAQ,25-02-2026,1300,1350,1320
Gujarat,Dahod,Limkheda APMC,Maize,Other,Local,25-02-2026,1650,1800,1725
Gujarat,Dahod,Limkheda APMC,Paddy(Common),Other,Local,25-02-2026,1700,2000,1850
Kerala,Kottayam,Athirampuzha APMC,Tomato,Tomato,FAQ,25-02-2026,3400,3600,3500
Haryana,Sonipat,Gohana APMC,Bitter gourd,Other,Medium,25-02-2026,4000,6000,5000
